sentence1	sentence2
"Ob prevzemu položaja sem povedal, da bomo v vseh primerih, kjer bomo sumili na kršitve zakona, dosledno uvajali postopke,"" je zatrdil Soršak in dodal, da urad za varstvo konkurence ni v nikakršni vojni z nikomer."	"Ob nastopu funkcije sem dejal, da bomo dosledno izvajali postopke v vseh primerih, ko bomo sumili kršitev zakona,"" je dejal Soršak in dodal, da Urad za varstvo konkurence ni v vojni z nikomer."
Pivovarna Laško je prepričana, da so ocene organa za varstvo konkurence neutemeljene konstrukcije, ki ne vsebujejo nobenih dokazov ali navedb.	V Pivovarni Laško so prepričani, da gre pri ocenah urada za varstvo konkurence za neutemeljen konstrukt brez vsakršnih dokazov in indicev.
Pivovarna Laško je prepričana, da so ocene organa za varstvo konkurence neutemeljene konstrukcije brez kakršnih koli dokazov ali navedb.	Pivovarna Laško je prepričana, da so ocene organa za varstvo konkurence neutemeljene konstrukcije, ki ne vsebujejo nobenih dokazov ali navedb.
Temeljito bosta preučila odločbo Urada in poiskala ustrezna pravna sredstva.	Temeljito bosta preučila odločbo Urada in uporabila ustrezna pravna sredstva.
Sklep urada bodo temeljito preučili in vložili ustrezna pravna sredstva.	Temeljito bosta preučila odločbo Urada in uporabila ustrezna pravna sredstva.
Po poročanju nekaterih medijev nedavne spremembe lastništva pomenijo začetek dokončne lastniške konsolidacije Pivovarne Laško.	Po pisanju nekaterih medijev naj bi zadnji lastniški premiki pomenili začetek dokončne lastniške konsolidacije Pivovarne Laško.
Po poročanju nekaterih medijev nedavne spremembe lastništva pomenijo začetek dokončne lastniške konsolidacije Pivovarne Laško.	Po poročanju nekaterih medijev naj bi se z zadnjimi lastniškimi potezami začela dokončna lastniška konsolidacija Pivovarne Laško.
Kot so sporočili, nimajo v lasti delnic Mercatorja, zato ne morejo izvajati nadzora nad Mercatorjem in ne morejo kršiti določb Zakona o preprečevanju omejevalnih ravnanj.	Dejali so, da nimajo delnic Mercatorja in zato ne morejo izvajati nadzora nad Mercatorjem ali kršiti določb Zakona o preprečevanju omejevalnih ravnanj.
Kot so sporočili, ne razpolagajo z delnicami Mercatorja in glede na to ne morejo izvajati nadzora nad to družbo in ne morejo kršiti določb zakona o preprečevanju omejevanja konkurence.	Kot so sporočili, nimajo v lasti delnic Mercatorja, zato ne morejo izvajati nadzora nad Mercatorjem in ne morejo kršiti določb Zakona o preprečevanju omejevalnih ravnanj.
Za družbo Center naložbe zato ne more veljati prepoved odtujitve in obremenitve delnic Mercatorja, je v izjavi zapisala družba in dodala, da s Pivovarno Laško, Pivovarno Union, Radensko in Mercatorjem nima nobenih povezav, ki bi kakor koli kršile kakršno koli zakonodajo.	Za Center naložbe tako ne more veljati prepoved odsvojitve in obremenitve delnic Mercatorja, so navedli v sporočilu in dodali, da družba nima nobene povezave s Pivovarno Laško, Pivovarno Union, Radensko in Mercatorjem, zaradi katere bi kakorkoli kršila katerikoli zakon.
Za družbo Center Investments zato ne more veljati prepoved prodaje in obremenitve delnic Mercatorja, je v izjavi zapisala družba in dodala, da s Pivovarno Laško, Pivovarno Union, Radensko in Mercatorjem nima nobenih povezav, ki bi kakor koli kršile kakršen koli zakon.	Za Center naložbe tako ne more veljati prepoved odsvojitve in obremenitve delnic Mercatorja, so navedli v sporočilu in dodali, da družba nima nobene povezave s Pivovarno Laško, Pivovarno Union, Radensko in Mercatorjem, zaradi katere bi kakorkoli kršila katerikoli zakon.
Kot je znano, je družba Centrum invest 12. decembra objavila namero o prevzemu družbe Infond Holding, ki je največji lastnik Pivovarne Laško in ima v lasti tudi 24,99-odstotni delež Mercatorja.	Kot je znano, je družba Centrum invest 12. decembra objavila namero o prevzemu družbe Infond Holding, ki je največji lastnik Pivovarne Laško in ima 24,99-odstotni delež v Mercatorju.
Kot je znano, je družba Center naložbe 12. decembra objavila namero za prevzem Infond Holdinga, ki je največja lastnica Pivovarne Laško , hkrati pa ima v lasti 24,99- odstotni delež Mercatorja.	Kot je znano, je družba Centrum invest 12. decembra objavila namero o prevzemu družbe Infond Holding, ki je največji lastnik Pivovarne Laško in ima 24,99-odstotni delež v Mercatorju.
Centrum investi ima že več kot 53-odstotni delež v Infond Holdingu, prevzem ciljnega podjetja pa bo financiral izključno iz lastnih sredstev, je ob objavi prevzemne namere povedal.	Centrum investi ima že več kot 53-odstotni delež v Infond Holdingu in bo prevzem ciljnega podjetja financiral izključno iz lastnih sredstev, kot je podjetje napovedalo ob objavi namere o prevzemu podjetja.
Družba center naložbe ima v Infond Holdingu že več kot 53- odstotni lastniški delež, prevzem ciljne družbe pa bodo financirali izključno z lastnimi viri, so navedli ob objavi prevzemne namere.	Centrum investi ima že več kot 53-odstotni delež v Infond Holdingu in bo prevzem ciljnega podjetja financiral izključno iz lastnih sredstev, kot je podjetje napovedalo ob objavi namere o prevzemu podjetja.
Investicijski center je bil v zadnjih mesecih zelo aktiven pri prodaji svojih deležev (Terme Čatež, Pivovarna Laško, Merkur, Mercator, Iskra Avtoelektrika, Elektro Ljubljana, Elektro Maribor), kar nekateri sumijo, da je prav zaradi načrtovanega prevzema družbe Infonda Holding.	Center naložbe v zadnjih mesecih zelo aktivno prodaja svoje naložbe ( Terme Čatež, Pivovarna Laško, Merkur, Mercator, Iskra Avtoelektrika, Elektro Ljubljana, Elektro Maribor ), kar naj bi po mnenju nekaterih počel prav zaradi načrtovanega prevzema Infonda Holding.
Investicijski center je bil v zadnjih mesecih zelo aktiven pri prodaji svojih naložb (Terme Čatež, Pivovarna Laško, Merkur, Mercator, Iskra Avtoelektrika, Elektro Ljubljana, Elektro Maribor), kar je po mnenju nekaterih posledica načrtovanega prevzema Infonda Holdinga.	Center naložbe v zadnjih mesecih zelo aktivno prodaja svoje naložbe ( Terme Čatež, Pivovarna Laško, Merkur, Mercator, Iskra Avtoelektrika, Elektro Ljubljana, Elektro Maribor ), kar naj bi po mnenju nekaterih počel prav zaradi načrtovanega prevzema Infonda Holding.
Novega predsednika bo skupščina izvolila 2. septembra.	Skupščina bo 2. septembra izvolila novega predsednika.
Zdenko Pavček je s položaja odstopil.	Zdenko Pavček odstopi.
Za to funkcijo se bodo potegovali Stojan Binder, Andrej Mate, Vasilij Prešern in Boštjan Šifrar - predsednika bo izvolila skupščina Gospodarske zbornice Slovenije (GZS).	Za to mesto – predsednika bodo izvolili na skupščini Gospodarske zbornice Slovenije ( GZS ) – se bodo potegovali Stojan Binder, Andrej Mate, Vasilij Prešern in Boštjan Šifrar.
Za to mesto se bodo potegovali Stojan Binder, Andrej Mate, Vasilij Prešern in Boštjan Šifrar - predsednik bo izvoljen na skupščini Gospodarske zbornice Slovenije (GZS).	Za to mesto – predsednika bodo izvolili na skupščini Gospodarske zbornice Slovenije ( GZS ) – se bodo potegovali Stojan Binder, Andrej Mate, Vasilij Prešern in Boštjan Šifrar.
Novi predsednik GZS bo nasledil Zdenka Pavčka, ki je 14. julija s položaja odstopil.	Novi predsednik trgovinske in industrijske zbornice bo nasledil Zdenka Pavčka, ki je odstopil 14. julija.
Kot je sporočila Gospodarska zbornica Slovenije, se je danes končal postopek imenovanja novega predsednika Gospodarske zbornice Slovenije.	Gospodarska in industrijska zbornica je sporočila, da se je danes zaključil postopek imenovanja novega predsednika gospodarske in industrijske zbornice.
Kot so sporočili z GZS, se je danes zaključil postopek predlaganja kandidatov za novega predsednika GZS .	Kot je sporočila Gospodarska zbornica Slovenije, se je danes končal postopek imenovanja novega predsednika Gospodarske zbornice Slovenije.
Vsi štirje kandidati izpolnjujejo pogoje, določene v statutu zbornice in poslovniku za volitve organov zbornice.	Vsi štirje kandidati izpolnjujejo pogoje, določene v statutu in poslovniku zbornice za volitve organov zbornice.
Vse štiri kandidature izpolnjujejo pogoje, določene v statutu zbornice in pravilniku o volitvah organov GZS.	Vsi štirje kandidati izpolnjujejo pogoje, določene v statutu zbornice in poslovniku za volitve organov zbornice.
Binder je direktor družbe Sinet , Mate predsednik upravnega odbora Inlesa , Prešern izvršni direktor Sija in Šifrar direktor družbe Sibo G.	Binder je direktor družbe Sinet , Mate je predsednik upravnega odbora družbe Inles , Prešern je generalni direktor družbe Si in Šifrar je generalni direktor družbe Sibo G.
Binder je direktor družbe Sinet , Mate je predsednik uprave družbe Inles , Prešern je generalni direktor družbe Si, Šifrar pa generalni direktor družbe Sibo G.	Binder je direktor družbe Sinet , Mate je predsednik upravnega odbora družbe Inles , Prešern je generalni direktor družbe Si in Šifrar je generalni direktor družbe Sibo G.
Med njimi bo generalna skupščina trgovinske in industrijske zbornice 2. septembra izvolila novega predsednika, ki bo na ta položaj izvoljen do izteka štiriletnega mandata sedanje generalne skupščine trgovinske in industrijske zbornice in konstituiranja nove, tj. najpozneje do 29. maja 2011.	Med omenjenimi bo skupščina zbornice 2. septembra izvolila novega predsednika, ki bo na položaj izvoljen za čas do izteka štiriletnega mandata sedanje skupščine GZS in konstituiranja nove, torej najdlje do 29. maja 2011.
Med njimi bo generalna skupščina trgovinske in industrijske zbornice 2. septembra izvolila novega predsednika, ki bo na ta položaj izvoljen do izteka štiriletnega mandata sedanje generalne skupščine trgovinske in industrijske zbornice in konstituiranja nove, tj. najpozneje do 29. maja 2011.	Tako bo 2. septembra plenarna skupščina trgovinske in industrijske zbornice izvolila novega predsednika, ki bo funkcijo opravljal do izteka štiriletnega mandata sedanje plenarne skupščine trgovinske in industrijske zbornice in do konstituiranja nove plenarne skupščine, tj. najpozneje do 29. maja 2011.
Ob koncu mandata je lahko ponovno izvoljen za predsednika trgovinske in industrijske zbornice.	Po preteku mandata je lahko ponovno izvoljen za predsednika GZS .
Po izteku mandata je lahko ponovno izvoljen za predsednika trgovinske in industrijske zbornice.	Ob koncu mandata je lahko ponovno izvoljen za predsednika trgovinske in industrijske zbornice.
Pavček bo do generalne skupščine opravljal funkcijo predsednika Gospodarske zbornice.	Do volilne skupščine bo funkcijo predsednika GZS opravljal Pavček.
Po navedbah GZS bodo kandidati pripravili program delovanja zbornice, ki ga bodo pred volitvami predložili članom skupščine GZS.	Kandidati bodo po pojasnilih GZS pripravili program delovanja zbornice, ki ga bodo pred volitvami posredovali članom skupščine GZS .
Po navedbah GZS bodo kandidati pripravili program delovanja zbornice, ki ga bodo pred volitvami predstavili članom skupščine GZS.	Kandidati bodo po pojasnilih GZS pripravili program delovanja zbornice, ki ga bodo pred volitvami posredovali članom skupščine GZS .
Novi kandidati se lahko na volilni seznam uvrstijo tudi na sami volilni skupščini, če novega kandidata predlaga vsaj 10 članov skupščine.	Novi kandidati se lahko na volilno listo dodajo tudi na samem volilnem zboru, če novega kandidata predlaga vsaj 10 članov zbora.
Novi kandidati se lahko na volilni seznam uvrstijo tudi na sami volilni skupščini, če novega kandidata predlaga vsaj 10 članov skupščine.	Nove kandidate lahko na volilno listo uvrstijo tudi na sami volilni skupščini, če novega kandidata predlaga vsaj deset članov skupščine.
Predsednik skupščine Gospodarske zbornice Uroš Slavinec je 19. julija objavil poziv za zbiranje kandidatur.	Predsednik skupščine GZS Uroš Slavinec je poziv za predlaganje kandidatov objavil 19. julija.
Predsednik skupščine Gospodarske zbornice Uroš Slavinec je 19. julija objavil poziv za zbiranje kandidatur.	Predsednik skupščine Gospodarske zbornice Uroš Slavinec je 19. julija pozval k oddaji kandidatur.
Kot je povedal ob predaji odstopne izjave, ga k odstopu ni spodbudil poziv upravnega odbora združenja kemijske industrije pri trgovinski in industrijski zbornici, saj je o odstopu razmišljal že nekaj časa.	Kot je dejal ob predaji odstopne izjave, odstopu ni botroval poziv upravnega odbora Združenja kemijske industrije pri GZS, saj je o odstopu razmišljal že nekaj časa.
Kot je pojasnil ob predaji odstopne izjave, ga k odstopu ni spodbudil poziv upravnega odbora združenja kemijske industrije pri trgovinski in industrijski zbornici, saj je o odstopu razmišljal že nekaj časa.	Kot je dejal ob predaji odstopne izjave, odstopu ni botroval poziv upravnega odbora Združenja kemijske industrije pri GZS, saj je o odstopu razmišljal že nekaj časa.
Poslanec Pukšič zahteva razrešitev prvega nadzornika NKBM Topleka , ki je hkrati predsednik uprave Taluma .	Poslanec Pukšič poziva k razrešitvi prvega nadzornika NKBM, gospoda Topleka, ki je tudi predsednik uprave družbe Talum.
Poslanec Pukšič zahteva razrešitev prvega nadzornika NKBM, gospoda Topleka, ki je tudi direktor družbe Talum.	Poslanec Pukšič zahteva razrešitev prvega nadzornika NKBM Topleka , ki je hkrati predsednik uprave Taluma .
Vzrok za njegovo zahtevo je nakup delnic NLB od Merkurja , kar je počela Talumova hčerinska družba Vital .	Razlog za njegovo zahtevo je nakup delnic NLB Merkurja s strani Talumove hčerinske družbe Vital .
Vzrok za njegovo zahtevo je nakup delnic NLB od Merkurja , kar je počela Talumova hčerinska družba Vital .	Razlog za njegovo zahtevo je nakup delnic NLB od Merkurja s strani Talumove hčerinske družbe Vital .
Ministrstvo za finance bo ukrepalo po končni rešitvi primera in na podlagi ugotovitev nadzornih in regulativnih organov.	Ministrstvo za finance bo ukrepalo, ko bo primer dokončno razčiščen in na podlagi sklepov, ki jih bodo sprejeli organi nadzora in regulative.
Ministrstvo za finance bo ukrepalo po dokončni razjasnitvi primera in na podlagi ugotovitev nadzornih in regulativnih organov.	Ministrstvo za finance bo ukrepalo po končni rešitvi primera in na podlagi ugotovitev nadzornih in regulativnih organov.
- Zakladnica	- Ministrstvo za finance
— Ministrstvo za finance	- Ministrstvo za finance
Poslanec SLS Franc Pukšič je javno pozval ministra za finance Franca Križaniča k razrešitvi predsednika nadzornega sveta Nove kreditne banke Maribor ( NKBM ) Danila Topleka .	Poslanec SLS Franc Pukšič je ministra za finance Franca Križaniča javno pozval k razrešitvi predsednika nadzornega sveta Nove kreditne banke Maribor (NKBM) Danila Topleka.
Na novinarski konferenci v Mariboru je navrgel vrsto obtožb zoper Topleka, ki je hkrati prvi mož kidričevske družbe Talum .	Na novinarski konferenci v Mariboru je Topleku, ki je tudi prvi mož Taluma iz Kidričevega, izrekel številne obtožbe.
Na novinarski konferenci v Mariboru je Topleku, ki je tudi prvi mož podjetja Talum iz Kidričevega, izrekel vrsto obtožb.	Na novinarski konferenci v Mariboru je Topleku, ki je tudi prvi mož Taluma iz Kidričevega, izrekel številne obtožbe.
Skrbelo naj bi ga celo za bodoče poslovanje tega podjetja.	Pravijo celo, da ga skrbi za prihodnost podjetja.
Skrbelo naj bi ga celo za bodoče poslovanje tega podjetja.	Skrbi naj bi ga celo skrb za prihodnje poslovanje podjetja.
