sentence0;sentence1;sentence2;sentence3
 Šerif ste.; Vi ste Rachel Solando.; Niste na neuroleptikih.; Bili ste medicinska sestra?
 Tako je.; Tako je.; Tako se govori.; To drži, da.
 Bi lahko pokazali roke? -Zakaj? Zakaj?; -Zakaj? -Kako?; Takoj mi pokaži svoj prekleti obraz! -Zakaj?; Prav tako Rachel Solando. Izmislil sem si jih. -Zakaj?
 Prepričati se želim, da me s tistim, kar držite, ne boste ranili.; Rad bi bil prepričan, da me s tem, kar držite ne boste poškodovali.; Poskušam narediti nekaj, kar Ijudje vključno z vami ne razumejo.; Želim si, da bi vas lahko pustil živeti v vašem namišIjenem svetu.
 Tole bom obdržala, če nimate nič proti.; Obdržala bom tole...; Veste kaj? V tem se pa strinjam z vami.; Imam nekaj res lepega v zaporniško sivi, če vama to ne odgovarja.
 Meni je prav.; V redu je.; Veste kaj? V tem se pa strinjam z vami.; Zaradi mene lahko.
 Vi ste Rachel Solando.; Vi ste Rachel Solando.; Marshal, sami ste rekli, da je bila bosa.; Zavzeli ste se zame, doktor?
 Resnična Rachel Solando.; Oh ne, sploh ne. Rachel je pametna. V bistvu briljantna.; Še vedno je tu.; Vsem nam je dodelila vloge v tej fikciji.
 Ste umorili svoje otroke?; Ali ste ubili svoje otroke?; Kako hudo ste poškodovali stražarja?; Ste uživali v poslednjem božjem daru?
 Nikoli nisem imela otrok. Nikoli nisem bila poročena.; Nikoli nisem bila poročena.; Nikdar nisem imela otrok.; Nikdar nisem imel male deklice.
 In preden sem postala pacientka, sem tu delala.; In preden sem postala pacient v Ashcliffu, sem tukaj delala.; Bila sem cenjena psihiatrinja, iz ugledne družine.; Dokler nisem našel nekoga, ki je bil tukaj pacient.
 Bili ste bolničarka?; Bili ste medicinska sestra?; Vi ste Rachel Solando.; Zavzeli ste se zame, doktor?
 Bila sem zdravnica, šerif.; Doktor sem bila, Marshal.; Bila sem cenjena psihiatrinja, iz ugledne družine.; To mi je povedala.
 Mislite, da sem nora? -Ne, ne, ... -In če rečem, da nisem nora ...; Ne, ne. Jaz... -In če pravim, da nisem nora...; Je vse v redu z vami? Bledi zgledate. -V redu sem, samo...; Kako za hudiča to misliš? -Več kot govoriš, s svojo jebeno govorico...
 To komajda kaj pomaga, kajne?; Brez zamere, v redu?; In oprostite, kaj pa vas ne provocira?; Prenehajte s tem!
 To je kafkovska genialnost tega.; To je Kafkova genialnost tega.; Jebeš ga, če jaz vem!; To je... To je bolan zafukan svet, v katerem živimo. To vam povem.
 Ljudje svetu povedo, da si nor, in vsa tvoja nasprotovanja le potrjujejo njihove besede.; Ko te enkrat razglasijo za neprištevnega, potem vsako tvoje nadaljnje dejanje pripišejo tej norosti.; Ne moreš odkriti resnice in ubiti Laeddisa istočasno.; Ljudje povejo svetu, da si zmešan...
 Ne sledim vam. Žal mi je.; Točno! -Ne, Žal mi je.; To ni domneva. Niti najmanj. Niste me razumeli.; To je... To je bolan zafukan svet, v katerem živimo. To vam povem.
 Ko si enkrat razglašen za norega, so vsa tvoja dejanja zaznamovana s tem.; Ko te enkrat razglasijo za neprištevnega, potem vsako tvoje nadaljnje dejanje pripišejo tej norosti.; Ne moreš odkriti resnice in ubiti Laeddisa istočasno.; Noben moralni red ni tako nedolžen, kot to neurje.
 Upravičeni ugovori so zanikanja. Utemeljeni strahovi so paranoja.; Nori Ijudje so popoln poskusni predmet. Kar povejo, nihče ne posluša.; Utemeljeni strahovi, paranoja. -Nagoni preživetja so...; Ko te enkrat razglasijo za neprištevnega, potem vsako tvoje nadaljnje dejanje pripišejo tej norosti.
 Nagon po preživetju je obrambni mehanizem.; Možgani nadzorujejo strah, empatijo, spanje, lakoto, jezo, skratka vse.; Zelo prepričIjiv obrambni mehanizem.; ...obrambni mehanizmi.
 Pametnejši ste kot izgledate. To verjetno ni dobro.; Pametnejši ste, kot zgledate, Marshal. To verjetno ne pomeni nič dobrega.; Nasilni ste toliko, kolikor lahko.; Vaše halucinacije so precej resnejše, kot smo mislili.
 Povejte mi nekaj ... -Ja?; Povejte mi nekaj... -Da.; Sodo z ledom prosim. -Oh...; Kaj glavobolov? -Jaz...
 Kaj se vam je zgodilo?; Kaj... kaj se vam je zgodilo?; Kaj se je zgodilo z Laeddisom?; Se je zgodilo kaj nenavadnega?
 Začela sem spraševati o velikih pošiljkah natrijevega amatola in opijevih halucinogenov. -Psihotropična zdravila.; Začela sem spraševati o teh velikih pošiljkah natrijevega anatola.; Ugani kaj so testirali? -Zobno pasto?; Kaj pa zdaj? -Zdravimo jih.
 Spraševala sem tudi o operacijah.; Tudi o operacijah sem spraševala.; povedala mi je za neuroleptike.; Moram povedati, da je to zelo blizu mojih medicinskih zaključkov.
 Ste kdaj slišali za transorbitalno lobotomijo?;" Si kdaj slišal za ""trans-orbitalno lobotomijo""?";" Ste vedeli, da beseda ""travma"" izhaja iz grške besede za ""rano""?"; Je bila Rachel deležna še kakšnih drugih tretmanov za svojo bolezen?
 Pacientu najprej dajo elektrošoke, nato pa mu skozi oko vstavijo šilo za led in ven povlečejo nekaj živčnih vlaken.; Pacienta onesposobijo z elektrošoki, nato mu potisnejo ledolomilko v oko in potegnejo ven nekaj živčnih vlaken.; Pacienta naredi veliko bolj poslušnega.;" Odprimo lobanjo in poglejmo, kaj se zgodi, če odstranimo ""to vrsto""."
 Pacienti postanejo veliko bolj poslušni. Vodljivi.; Nekateri pravijo, da pacienti postanejo razumni, ubogljivi.; Nori Ijudje so popoln poskusni predmet. Kar povejo, nihče ne posluša.; Ljudje nasilja.
 To je barbarsko.; To je barbarsko.; Tako se govori.; Je to jasno?
 Brezvestno.; Neprimerno.; Prava.; Moža.
 Veste, kako bolečina vstopi v telo, šerif. Veste?; Veste, kako bolečina pride v telo, Marshal? Veste?; Ljudje kot vi... so moja specialnost. Veste?; Drgetanje postaja vedno hujše, je tako?
 Odvisno od tega, kam si ranjen. -Ne, ni odvisno od 'mesa'.; Odvisno od tega, kje imate poškodbo. -Ne. To ni povezano s telesom.; Kaj je to? -To je samo pomirjevalo.; Ali se smatra za nevarno? -Lahko bi tako rekli.
 Možgani nadzorujejo bolečino.; Možgani nadzorujejo bolečino.; Možgani nadzorujejo strah, empatijo, spanje, lakoto, jezo, skratka vse.; Pacienta naredi veliko bolj poslušnega.
 Nadzorujejo strah, empatijo, spanec, jezo, lakoto, vse.; Možgani nadzorujejo strah, empatijo, spanje, lakoto, jezo, skratka vse.; Tam ustvarjajo duhove.; Nori Ijudje so popoln poskusni predmet. Kar povejo, nihče ne posluša.
 Kaj, če bi jih lahko nadzoroval?; Kaj, če bi jih lahko nadzorovali?; Bi lahko... prenehali s tem?; Kaj bi delala, če bi prišla ven?
 Možgane? -Preustvariš človeka, da ne čuti bolečine.; Kaj je narobe z njim?! -Migreno ima.; Možgane? -Ponovno ustvariti človeka, ki nebi čutil bolečine, ali Ijubezni, ali... ali simpatije.; Ali se ne strinjate, da ko vidiš pošast, jo moraš zaustaviti.
 Ali ljubezni. Ali sočutja.; O zunanjem svetu. O atolih.; Dajte no. Kdorkoli. Kdorkoli. Kdorkoli. Kdorkoli.; Tista, ki ti nenehno govori, da bi jo moral rešiti. Rešiti vse.
 Človeka, ki ga ne moreš zaslišati, ker nima spominov, ki bi jih priznal.; Človeka, ki ga ni mogoče zaslišati, saj je brez spomina, da bi lahko priznal.; Tipe, ki se jih celo ostali sojetniki bojijo.; Preveč, da bi si jih sploh predstavljal.
 Človeku nikoli ne moreš odvzeti vseh spominov. Nikoli.; Nikoli ne moreš izbrisati vsega človekovega spomina. Nikoli.; To je igra. Vse to... je zaradi tebe.; potem bo zaman vse, kar smo poskušali narediti tukaj. Vse.
 V S. Koreji so ameriške vojne jetnike uporabljali za poskuse pranja možganov.; Marshal, Severni Korejci so na ameriških vojnih zapornikih izvajali svoje poskuse pranja možganov.; Rachel Solando je prejemala kombinacijo zdravil, ki naj bi jo odvračala od nasilja, a so učinkovala samo občasno.; Sodnik mu je prisodil doživljensko v zaporu Dedham.
 Vojake so spreminjali v izdajalce. To počnejo tukaj.; Vojake so spremenili v izdajalce. To počnejo tukaj.; Jaz sem jih ubil.; Ne moreš ostati tukaj. Mislijo, da sem mrtva, da sem se utopila.
 Ustvarjajo prikazni, ki bi jih poslali v svet in počeli stvari, ki jih razumni ljudje nikoli ne bi ...; Ustvarjajo duhove, ki jih bojo spustili v svet in počeli stvari, ki jih človek zdrave pameti... razumen človek nikdar nebi.; To je bolnica za Ijudi, s katerimi naša družba običajno ne želi...; Utemeljeni strahovi, paranoja. -Nagoni preživetja so...
 Da bi pridobili take zmožnosti in taka znanja, bi trajalo leta ...; Imeti takšne sposobnosti, takšno znanje, za to bi potrebovali leta...; Prej so bili te vrste pacienti s katerimi imamo tu opravka...; To je bolnica za Ijudi, s katerimi naša družba običajno ne želi...
 Leta raziskav, stotine pacientov, na katerih lahko delajo poskuse.; Leta in leta raziskav, stotine pacientov, na katerih bi eksperimentirali.; Z izvedbo poskusov na možganih.; Dokazuje, da je tukaj 67-ti pacient, za katerega pravijo, da ne obstaja.
 Čez 50 let se bodo ljudje ozrli nazaj in govorili, da je to kraj, kjer se je vse skupaj začelo.;" Čez 50 let bodo Ijudje pogledali nazaj in rekli: ""Tukaj... na tem mestu"" tukaj se je vse to začelo."; Veste, nekaj vrednega sem zgradil tukaj, in za vredne stvari ni razumevanja v času, ko nastajajo.; Če bi prišel na celino, bi lahko razkrinkal ta kraj.
 Nacisti so uporabili Žide, Sovieti zapornike v svojih gulagih. In mi ...; Nacisti so uporabili Žide. Rusi zapornike v lastnih gulagih, mi pa...; Mi... videli smo, kaj so Ijudje sposobni narediti drug drugemu, je tako?; Dim jo je pokončal, ne ogenj. Tako da...
 Mi smo delali poskuse na pacientih s Shutterjevega otoka.;" mi pa smo poskuse izvajali na pacientih, tukaj na ""Zloveščem otoku""."; Moram povedati, da je to zelo blizu mojih medicinskih zaključkov.; Z izvedbo poskusov na možganih.
 Ne, ne bodo.; Ne ne bodo...; Ne!; Ne!
 Ne.; Ne.; Ne.; Ne.
 Saj razumete, ...; Torej da,...; Upam da razumete...; Tako mi je žal, ampak...
 ... da vam ne morejo dovoliti, da odidete?; ...z otoka v Bostonskem pristanišču?; mi... mi je nekdo skrivaj dajal zdravila v Bostonu. To pravite?; in rečejo, da je to razlog, da ste zgubili zdravo pamet.
 Zvezni šerif sem. Ne morejo me ustaviti.; Nisem tukaj, da bi ubil Leaddisa.; Ne bom odšel.; Ne bom odšel.
 Bila sem cenjena psihiatrinja iz ugledne družine.; Bila sem cenjena psihiatrinja, iz ugledne družine.; In preden sem postala pacient v Ashcliffu, sem tukaj delala.; Nikdar nisem imela otrok.
 Ni bilo pomembno.; Nisem opazil tega.; Ni bilo važno.; Da. Ampak ničesar nisem videl.
 Naj vas nekaj vprašam.; Jaz... oprostite mi doktor, samo eno hitro vprašanje imam.; Resno vas sprašujem.; Samo še eno vprašanje imam za vas, gdč. Kearns.
 Ste v preteklosti doživeli kakšen duševni pretres?; Kako hudo ste poškodovali stražarja?; Ali ni za Ijudi v vašem poklicu običajno, da pijejo?; Ste uživali v poslednjem božjem daru?
 Ja.; Ja.; Ja...; Jaz...
 Zakaj? Zakaj bi to bilo pomembno?; Da. Ampak zakaj... zakaj bi... zakaj bi bilo to pomembno?; Zakaj... zakaj bi to hotel, Chuck? Zakaj?; Zakaj potem vse to tukaj?
 Tako lahko s prstom pokažejo na dogodek iz vaše preteklosti in rečejo, da je to vzrok, da ste izgubili razum.; Dajte jim tableto, postavite jih v kot in vse bo izginilo.; Zato ne moreta kar izbrati, da jo boste preboleli.; Poskušam narediti nekaj, kar Ijudje vključno z vami ne razumejo.
" Ko vas bodo sprejeli sem, bodo vaši prijatelji in sodelavci rekli: ""Seveda se je zlomil. Kdo se pa ne bi, po tem, kar se mu je zgodilo."" To lahko rečejo čisto za vsakogar. -Ampak rekli bodo za vas.";" Ko vas bodo vaši prijatelji in kolegi zaprli sem noter, bodo lahko rekli: ""Seveda se je zlomil"". No, kdo se pa nebi po vsem, kar je preživel."; Vaša taktika, na meni ne bo delovala. -Sem ste prišli po resnico. Tukaj jo imate.; Dajte no, res? In kdaj je bilo to? -Doktorico sem našel v jami ob pečinah, ampak... nikdar je ne boste našli.
 Kako je z vašo glavo?; Kaj se je zgodilo z Laeddisom?; Kako hudo ste poškodovali stražarja?; Drgetanje postaja vedno hujše, je tako?
 Z mojo glavo? -Imate zadnje čase čudne sanje? Težave s spanjem?; Mojo glavo? -Kaj čudnih sanj zadnje čase?; Zdaj pa se vedeš kot... -Kot kaj? Kot kaj? Kako se vedem?; Veste s kakšnimi Ijudmi imam opravka vsak dan?
 Glavobole?; Satanistične operacijske dvorane?; Kako je s halucinacijami?; Težave s spanjem?
 Nagnjen sem k migrenam. -Ljubi bog!; Nisem tukaj, da bi kogarkoli ubil. -Lažnivec!; Gre za pojasnitev resnice. -Zate gre!; Nazaj hočem. -Primite ga!
 Saj niste vzeli kakšnih tablet, kajne?; Prenehajte s tem!; Saj nisi vzel kakšnih tablet, ne?; Torej mislite, da so to navadne čečkarije.
 Niti aspirina ne? -V aspirin podtikajo? -Ljubi bog!; Povej mi, kako so te spravili sem? -Oni vejo!; Si razumel? -Ja. ja. -Sigurno? -Razumem, razumem!; Nisem tukaj, da bi kogarkoli ubil. -Lažnivec!
 In jedli ste hrano v menzi, ter pili kavo, ki so vam jo dali.; In... si jedel hrano v restavraciji in pil kavo, s katero so ti postregli?; In vi pravite, da je morala iti tukaj mimo.; Tako da ste si izmislili drugi jaz.
 Recite, da vsaj kadite svoje cigarete.; Prenehajte s tem!; Precej spretni morate biti pri zasliševanju.; Dajte jim tableto, postavite jih v kot in vse bo izginilo.
 Ne.; Ne.; Ne.; Ne.
 Ne. Ne, jih ne.; Ne. Ne!; Ne ne bodo...; Ne!
 36 do 48 ur traja, da nevroleptični narkotik v krvi doseže primeren nivo.; Pacienta onesposobijo z elektrošoki, nato mu potisnejo ledolomilko v oko in potegnejo ven nekaj živčnih vlaken.; Prvi znak je ohromelost.; Isto zdravilo, ki ti ga dajemo zadnjih 24 mesecev.
 Najprej pride do paralize.; Prvi znak je ohromelost.; Pacienta naredi veliko bolj poslušnega.; Pacienta onesposobijo z elektrošoki, nato mu potisnejo ledolomilko v oko in potegnejo ven nekaj živčnih vlaken.
 Najprej prstne blazinice, sčasoma pa celotna roka.; Najprej v konicah prstov potem sčasoma cela roka.;" Odprimo lobanjo in poglejmo, kaj se zgodi, če odstranimo ""to vrsto""."; Pacienta naredi veliko bolj poslušnega.
 Ste v zadnjem času videli kakšno živo grozo, šerif?;" Ste kdaj videli ""taborišče smrti"", doktor?"; Se je zgodilo kaj nenavadnega?; Kako hudo ste poškodovali stražarja?
 Povejte mi, kaj se dogaja v svetilniku?; Povej mi, kaj se dogaja v svetilniku?; Kaj... kaj se vam je zgodilo?; Torej, ste že... ste že preiskali področje?
 Povejte mi.; Pomagaj mi prosim.; Sedite prosim.; Jaz... oprostite mi doktor, samo eno hitro vprašanje imam.
 Operacije na možganih.; Operacije na možganih.; Z izvedbo poskusov na možganih.; Psihokirurgija. Postopki, kot trans-orbitalna lobotomija.
" ""Odprimo mu glavo in poglejmo, kaj se zgodi, če potegnemo tole."" Teko kot se naučili od nacistov.";" To so pobrali od Nacistov: ""to vrsto""."; Kot da bi z bičanjem do krvi izgnali psihozo iz njih.; Pokaži mi svoj obraz. -Pravijo, da sem zdaj njihov.
 Tako ustvarjajo prikazni.; Tam ustvarjajo duhove.; Drugi pravijo, da postanejo zombiji.; Te slike so precej natančne.
 Kdo ve za to? Na otoku mislim. Kdo?; Mislim na otoku. Kdo?; Kdo je to? -On?; Kdo za vraga ima sploh tukaj glavno besedo? Kdo?
 Vsi. -Dajte no. Bolničarke, strežniki? Ne morejo vedeti. -Vsi.; Ni mogoče, da bi vedeli... -Vsi.; Te paciente? -Celo te.; Kaj glavobolov? -Jaz...
 Ne morete ostati tukaj.; Nič vam ne pride na misel.; Vi nimate partnerja, Marshal. Sami ste prišli sem.; Ne, to ni mogoče, ti ne moreš biti tukaj.
 Mislijo, da sem utonila. Bojim se, da me najdejo, če bodo iskali vas.; Ne moreš ostati tukaj. Mislijo, da sem mrtva, da sem se utopila.; Bojim se, da bi lahko našli mene, če bi prišli iskat tebe.; Ne, nikdar ne bom prišla od tod. Nisem prepričana niti, da bi smela.
 Žal mi je, a oditi morate.; Žal mi je za to.; Oditi moram.; Ne serite.
 Vrnil se bom po vas. -Ne bo me tu. Vsak večer si najdem nov prostor.; Ne bo me tukaj. Selim se podnevi. Vsako noč na drugem mestu.; Dajte no, res? In kdaj je bilo to? -Doktorico sem našel v jami ob pečinah, ampak... nikdar je ne boste našli.; Zdaj ne bom več prišel ven.
 Ampak lahko bi vas odpeljal z otoka.; Ampak pomagal ti bom priti s tega otoka.; Mogoče ne bi smeli od tod.; Zvedel bom, kaj za vraga se dogaja na tem otoku.
 Niste slišali niti besede tega, kar sem vam povedala?; Ali mislite, da sem nora?; Mislil sem, da je vaša preiskava končana?; Me nisi niti malo poslušal, ko sem govorila?
 Edina pot z otoka je trajekt in oni ga nadzorujejo.; Edina pot z otoka je trajekt, oni pa ga nadzirajo.; Tam je hrana, voda in postelje. To je najvarnejše mesto, v primeru orkana.; Kaj? -Tukaj izvajajo poskuse na Ijudeh.
 Nikoli ne boste odšli od tod.; Nikoli ne boš odšel od tod.; Potem pa nikdar ne boš zapustil tega otoka.; Vi nimate partnerja, Marshal. Sami ste prišli sem.
 Imel sem prijatelja.; Jaz... Prijatelja sem imel.; No, bil sem s svojim partnerjem.; Bil sem priložnost.
 Včeraj sva bila skupaj, a potem sva se ločila.; Včeraj sem bil z njim, a sva se ločila.; No, bil sem s svojim partnerjem.; To mi je povedala, pa je nisem poslušal.
 Ste ga videli?; Si ga mogoče videla?; Je kdo na liniji?; Se je zgodilo kaj nenavadnega?
 Šerif ...; Punči...; Nato...; Jaz...
 Nimate prijateljev.; Ti nimaš prijateljev.; Nič vam ne pride na misel.; Ne, ne, ne šef. Sreča ne funkcionira na ta način.
 Tukaj ste.; Tukaj si.; Tukaj je.; Tukaj je.
 Spraševali smo se, kdaj se boste prikazali.; Spraševali smo se že, kdaj se boš pojavil.; Privijali smo jim vijake v možgane.; Kje ste bili?
 Prisedite. Dajte.; Dajte.; Dobro. Pa vi?; Ne serite.
 Ste šli na lagoden sprehod, kaj?; Torej, greste na trajekt?; Kaj... kaj se vam je zgodilo?; Drgetanje postaja vedno hujše, je tako?
 Samo razgledoval sem se.; Bil sem... uh, samo... ogledoval sem si stvari.; Nisem opazil tega.; Mogoče... sem odšel v kopalnico.
 Ste uživali v zadnjem Božjem darilu?; Ste uživali v poslednjem božjem daru?; Se je zgodilo kaj nenavadnega?; Ali ste ubili svoje otroke?
 Kaj? -Božje darilo.;" Oči druge barve. Takega ""frisa"" ne pozabiš."; Dajmo še enkrat! -Dobro.; Kaj pa potem? -Potem pa nič.
 Nasilje.; Nasilje.; Odrekanje.; Volkovi.
 Ko sem v svoji hiši zagledal drevo, je seglo k meni kot božja roka.; Ko sem se spustil po stopnicah v svoji hiši in zagledal to drevo v dnevni sobi, se me je to dotaknilo, kot božja roka.; Vse kar se je spomnil je bilo kričanje Ijudi dan in noč, brez oken.; Hotela je, da potegnem ven svojega tiča, da bi se mu lahko smejala.
 Bogu je nasilje všeč.; Ker nam je Bog podaril nasilje, da se vojskujemo njemu v čast.; Noben moralni red ni tako nedolžen, kot to neurje.; Mislil sem, da nam je Bog podaril moralni red.
 Nisem opazil. -Seveda ste.; Nisem nasilen. -Seveda ste.; Jaz... tega nisem opazil. -Prepričan sem, da ste.; Tega se ne spominjam. -Vem.
 Zakaj bi ga sicer bilo tako veliko? V nas je. To je naše bistvo.; Zakaj bi ga potem bilo toliko? V nas je.; To je tisto, kar smo.; To je igra. Vse to... je zaradi tebe.
 Vojskujemo se, žrtvujemo, plenimo, ropamo in morimo svoje brate.; Ker nam je Bog podaril nasilje, da se vojskujemo njemu v čast.; Ustvarjajo duhove, ki jih bojo spustili v svet in počeli stvari, ki jih človek zdrave pameti... razumen človek nikdar nebi.; Noben moralni red ni tako nedolžen, kot to neurje.
 In zakaj? Ker nam je Bog dal nasilje, da se vojskujemo njemu na čast.; Ker nam je Bog podaril nasilje, da se vojskujemo njemu v čast.; Spuščamo se v vojne, sežigamo žrtve, krademo in ropamo in prelivamo solze nad trupli naših bratov, in zakaj?;" Ko vas bodo vaši prijatelji in kolegi zaprli sem noter, bodo lahko rekli: ""Seveda se je zlomil"". No, kdo se pa nebi po vsem, kar je preživel."
 Mislil sem, da nam je Bog dal moralne zapovedi.; Mislil sem, da nam je Bog podaril moralni red.; Ja, in imel sem dovolj pobijanja.; Poskušal sem, hotel sem, ampak preden sem prišel tja, je bilo prepozno.
 Ni je jasnejše moralne zapovedi, kot je ta nevihta.; Noben moralni red ni tako nedolžen, kot to neurje.; Nobenega moralnega reda ni.; Nazaj na celino, karkoli za vraga se že dogaja tukaj, je slabo.
 Moralnih zapovedi sploh ni.; Nobenega moralnega reda ni.; Ne, ne, ne šef. Sreča ne funkcionira na ta način.; Nori Ijudje so popoln poskusni predmet. Kar povejo, nihče ne posluša.
